<<<<<<< HEAD
engine_chamber_pressure_time,engine_chamber_pressure,ethanol_injector_pressure_time,ethanol_injector_pressure,ethanol_injector_temperature_time,ethanol_injector_temperature,N2O_tank_temperature_bot_time,N2O_tank_temperature_bot,N2O_tank_temperature_top_time,N2O_tank_temperature_top,N2O_injector_temperature_time,N2O_injector_temperature,N2O_injector_pressure_time,N2O_injector_pressure,N2O_tank_pressure_time,N2O_tank_pressure,thrust1_time,thrust1,thrust2_time,thrust2,thrust3_time,thrust3,thrust4_time,thrust4,thrust5_time,thrust5,thrust6_time,thrust6
19:40:56.289,2,00:00:00.000,0,00:00:00.000,0,00:00:00.000,0,00:00:00.000,0,00:00:00.000,0,19:40:56.480,0,00:00:00.000,0,00:00:00.000,0,00:00:00.000,0,00:00:00.000,0,00:00:00.000,0,00:00:00.000,0,00:00:00.000,0
19:40:56.289,2,19:40:56.448,1,19:40:56.464,12,19:40:56.464,12,19:40:56.480,0,19:40:56.512,3,19:40:56.480,0,19:40:56.512,5,19:40:56.528,0,19:40:56.544,0,19:40:56.544,0,19:40:56.560,0,19:40:56.575,91,19:40:56.575,0
19:40:57.286,86,19:40:57.286,27,19:40:57.286,54,19:40:57.286,54,19:40:57.286,92,19:40:57.286,37,19:40:57.286,45,19:40:57.286,6,19:40:57.286,2,19:40:57.286,48,19:40:57.286,48,19:40:57.286,12,19:40:57.286,12,19:40:57.286,22
19:40:58.284,48,19:40:58.284,29,19:40:58.284,22,19:40:58.284,22,19:40:58.284,93,19:40:58.284,63,19:40:58.284,19,19:40:58.284,47,19:40:58.284,66,19:40:58.284,25,19:40:58.284,25,19:40:58.284,44,19:40:58.284,38,19:40:58.285,30
19:40:59.283,50,19:40:59.283,68,19:40:59.283,28,19:40:59.283,28,19:40:59.283,1,19:40:59.283,64,19:40:59.283,23,19:40:59.283,23,19:40:59.283,13,19:40:59.283,68,19:40:59.283,68,19:40:59.283,1,19:40:59.283,5,19:40:59.283,93
19:41:00.279,66,19:41:00.280,91,19:41:00.280,21,19:41:00.280,21,19:41:00.280,61,19:41:00.280,12,19:41:00.280,100,19:41:00.280,6,19:41:00.280,59,19:41:00.280,90,19:41:00.280,90,19:41:00.280,22,19:41:00.280,43,19:41:00.280,42
19:41:01.278,67,19:41:01.279,31,19:41:01.279,73,19:41:01.279,73,19:41:01.279,12,19:41:01.279,82,19:41:01.279,9,19:41:01.279,41,19:41:01.279,4,19:41:01.279,78,19:41:01.279,78,19:41:01.279,59,19:41:01.279,11,19:41:01.279,73
19:41:02.276,89,19:41:02.276,45,19:41:02.276,82,19:41:02.276,82,19:41:02.276,99,19:41:02.276,52,19:41:02.276,95,19:41:02.276,60,19:41:02.276,46,19:41:02.276,70,19:41:02.276,70,19:41:02.276,84,19:41:02.276,67,19:41:02.276,79
19:41:03.272,5,19:41:03.272,67,19:41:03.273,93,19:41:03.273,93,19:41:03.273,32,19:41:03.273,71,19:41:03.273,14,19:41:03.273,9,19:41:03.273,97,19:41:03.273,95,19:41:03.273,95,19:41:03.273,54,19:41:03.273,70,19:41:03.273,0
19:41:04.286,79,19:41:04.286,17,19:41:04.286,87,19:41:04.286,87,19:41:04.286,59,19:41:04.286,74,19:41:04.286,32,19:41:04.286,6,19:41:04.286,54,19:41:04.286,64,19:41:04.286,64,19:41:04.286,70,19:41:04.286,44,19:41:04.286,13
19:41:05.283,24,19:41:05.283,51,19:41:05.283,62,19:41:05.283,62,19:41:05.283,4,19:41:05.283,19,19:41:05.283,8,19:41:05.283,82,19:41:05.283,1,19:41:05.283,43,19:41:05.283,43,19:41:05.283,47,19:41:05.283,8,19:41:05.283,52
19:41:06.282,80,19:41:06.282,14,19:41:06.282,79,19:41:06.282,79,19:41:06.282,32,19:41:06.282,33,19:41:06.282,98,19:41:06.282,85,19:41:06.282,61,19:41:06.282,8,19:41:06.282,8,19:41:06.282,40,19:41:06.282,57,19:41:06.282,88
19:41:07.276,14,19:41:07.276,48,19:41:07.276,86,19:41:07.276,86,19:41:07.276,27,19:41:07.276,22,19:41:07.276,92,19:41:07.276,37,19:41:07.277,80,19:41:07.277,27,19:41:07.277,27,19:41:07.277,6,19:41:07.277,5,19:41:07.277,3
19:41:08.286,61,19:41:08.286,59,19:41:08.286,21,19:41:08.286,21,19:41:08.286,67,19:41:08.286,80,19:41:08.286,15,19:41:08.286,86,19:41:08.286,28,19:41:08.286,16,19:41:08.286,16,19:41:08.286,76,19:41:08.286,38,19:41:08.286,96
19:41:09.281,37,19:41:09.281,44,19:41:09.281,18,19:41:09.281,18,19:41:09.281,97,19:41:09.281,57,19:41:09.281,75,19:41:09.281,81,19:41:09.281,4,19:41:09.281,95,19:41:09.281,95,19:41:09.281,0,19:41:09.281,87,19:41:09.281,6
19:41:10.275,73,19:41:10.275,88,19:41:10.275,22,19:41:10.275,22,19:41:10.275,32,19:41:10.275,34,19:41:10.275,47,19:41:10.275,100,19:41:10.275,49,19:41:10.275,73,19:41:10.275,73,19:41:10.275,62,19:41:10.276,82,19:41:10.276,72
19:41:11.280,21,19:41:11.280,2,19:41:11.280,45,19:41:11.280,45,19:41:11.280,68,19:41:11.280,49,19:41:11.280,91,19:41:11.280,66,19:41:11.280,19,19:41:11.280,32,19:41:11.280,32,19:41:11.280,57,19:41:11.280,84,19:41:11.280,58
19:41:12.275,86,19:41:12.275,85,19:41:12.275,36,19:41:12.275,36,19:41:12.275,1,19:41:12.275,88,19:41:12.275,46,19:41:12.275,38,19:41:12.275,30,19:41:12.275,11,19:41:12.275,11,19:41:12.275,11,19:41:12.275,68,19:41:12.275,79
19:41:13.285,51,19:41:13.285,73,19:41:13.285,33,19:41:13.285,33,19:41:13.285,16,19:41:13.285,18,19:41:13.285,33,19:41:13.285,97,19:41:13.285,43,19:41:13.285,67,19:41:13.285,67,19:41:13.285,66,19:41:13.285,99,19:41:13.285,82
19:41:14.282,61,19:41:14.282,2,19:41:14.282,89,19:41:14.282,89,19:41:14.282,13,19:41:14.282,57,19:41:14.282,74,19:41:14.282,17,19:41:14.282,1,19:41:14.282,27,19:41:14.282,27,19:41:14.283,56,19:41:14.283,24,19:41:14.283,55
19:41:15.277,96,19:41:15.277,18,19:41:15.277,68,19:41:15.277,68,19:41:15.277,73,19:41:15.277,5,19:41:15.277,34,19:41:15.277,88,19:41:15.277,45,19:41:15.278,34,19:41:15.278,34,19:41:15.278,36,19:41:15.278,6,19:41:15.278,88
19:41:16.287,82,19:41:16.287,30,19:41:16.287,74,19:41:16.287,74,19:41:16.287,91,19:41:16.287,83,19:41:16.287,0,19:41:16.287,79,19:41:16.287,67,19:41:16.287,43,19:41:16.287,43,19:41:16.287,85,19:41:16.288,96,19:41:16.288,87
19:41:17.283,44,19:41:17.283,27,19:41:17.283,64,19:41:17.283,64,19:41:17.283,43,19:41:17.283,77,19:41:17.283,67,19:41:17.283,42,19:41:17.283,87,19:41:17.284,40,19:41:17.284,40,19:41:17.284,27,19:41:17.284,56,19:41:17.284,60
19:41:18.279,71,19:41:18.279,44,19:41:18.279,80,19:41:18.279,80,19:41:18.279,30,19:41:18.279,32,19:41:18.279,61,19:41:18.279,88,19:41:18.279,9,19:41:18.279,19,19:41:18.279,19,19:41:18.279,91,19:41:18.279,54,19:41:18.279,70
19:41:19.277,14,19:41:19.277,45,19:41:19.277,77,19:41:19.277,77,19:41:19.277,43,19:41:19.277,28,19:41:19.277,81,19:41:19.277,12,19:41:19.277,3,19:41:19.277,14,19:41:19.277,14,19:41:19.277,39,19:41:19.277,72,19:41:19.277,51
19:41:20.275,39,19:41:20.275,41,19:41:20.275,8,19:41:20.275,8,19:41:20.275,0,19:41:20.275,54,19:41:20.275,5,19:41:20.275,78,19:41:20.275,65,19:41:20.275,81,19:41:20.275,81,19:41:20.275,58,19:41:20.275,61,19:41:20.276,98
19:41:21.286,93,19:41:21.286,67,19:41:21.286,46,19:41:21.286,46,19:41:21.286,41,19:41:21.286,18,19:41:21.286,22,19:41:21.286,42,19:41:21.286,96,19:41:21.286,67,19:41:21.286,67,19:41:21.286,31,19:41:21.286,18,19:41:21.287,69
19:41:22.279,63,19:41:22.279,10,19:41:22.279,96,19:41:22.279,96,19:41:22.279,5,19:41:22.279,71,19:41:22.279,53,19:41:22.279,83,19:41:22.279,28,19:41:22.279,59,19:41:22.279,59,19:41:22.279,57,19:41:22.279,75,19:41:22.279,3
19:41:23.276,40,19:41:23.276,30,19:41:23.276,26,19:41:23.276,26,19:41:23.276,48,19:41:23.277,87,19:41:23.276,68,19:41:23.277,65,19:41:23.277,83,19:41:23.277,23,19:41:23.277,23,19:41:23.277,22,19:41:23.277,95,19:41:23.277,78
19:41:24.273,75,19:41:24.273,72,19:41:24.273,85,19:41:24.273,85,19:41:24.273,31,19:41:24.273,42,19:41:24.273,26,19:41:24.273,93,19:41:24.273,79,19:41:24.273,58,19:41:24.273,58,19:41:24.273,91,19:41:23.277,95,19:41:24.273,9
19:41:25.285,97,19:41:25.285,58,19:41:25.285,52,19:41:25.285,52,19:41:25.285,52,19:41:25.285,84,19:41:25.285,32,19:41:25.285,72,19:41:25.285,1,19:41:25.285,37,19:41:25.285,37,19:41:25.286,19,19:41:25.286,44,19:41:25.286,15
