engine_chamber_pressure_time,engine_chamber_pressure,ethanol_injector_pressure_time,ethanol_injector_pressure,ethanol_injector_temperature_time,ethanol_injector_temperature,ethanol_tank_mass_time,ethanol_tank_mass,ethanol_tank_pressure_time,ethanol_tank_pressure,ethanol_tank_temperature_time,ethanol_tank_temperature,N2O_injector_pressure_time,N2O_injector_pressure,N2O_injector_temperature_time,N2O_injector_temperature,N2O_tank_mass_time,N2O_tank_mass,N2O_tank_pressure_time,N2O_tank_pressure,N2O_tank_temperature_bot_time,N2O_tank_temperature_bot,N2O_tank_temperature_top_time,N2O_tank_temperature_top,nitrogen_tank_pressure_time,nitrogen_tank_pressure,thrust1_time,thrust1,thrust2_time,thrust2,thrust3_time,thrust3,thrust4_time,thrust4
13:13:03.14,17.00,13:13:02.75,22.00,13:13:02.84,30.00,13:13:03.67,8.08,13:13:03.01,60.00,13:13:02.87,18.00,13:13:03.61,25.00,13:13:03.44,-3.00,13:13:03.76,7.44,13:13:03.44,60.00,13:13:03.53,6.00,13:13:03.03,-22.00,13:13:02.75,55.00,13:13:03.83,762.02,13:13:03.83,855.16,13:13:03.83,883.41,13:13:03.83,571.61
13:13:03.20,16.00,13:13:02.84,22.00,13:13:02.95,29.00,13:13:03.78,7.97,13:13:03.14,58.00,13:13:03.01,18.00,13:13:03.72,26.00,13:13:03.53,-1.00,13:13:03.87,7.32,13:13:03.58,59.00,13:13:03.64,5.00,13:13:03.19,-22.00,13:13:02.90,59.00,13:13:03.93,701.77,13:13:03.93,848.18,13:13:03.93,712.37,13:13:03.93,583.34
13:13:03.23,16.00,13:13:02.90,21.00,13:13:02.97,30.00,13:13:03.86,7.90,13:13:03.22,60.00,13:13:03.06,20.00,13:13:03.78,30.00,13:13:03.56,-3.00,13:13:03.97,7.22,13:13:03.61,59.00,13:13:03.75,20.00,13:13:03.22,-22.00,13:13:02.92,58.00,13:13:04.00,744.31,13:13:04.00,736.74,13:13:04.00,722.55,13:13:04.00,590.15
13:13:03.40,16.00,13:13:03.12,21.00,13:13:03.03,23.00,13:13:03.98,7.79,13:13:03.39,58.00,13:13:03.19,15.00,13:13:03.92,25.00,13:13:03.72,-1.00,13:13:04.08,7.09,13:13:03.78,59.00,13:13:03.89,20.30,13:13:03.44,-23.00,13:13:02.97,60.00,13:13:04.11,870.26,13:13:04.11,760.86,13:13:04.11,892.02,13:13:04.11,601.99
13:13:03.51,17.00,13:13:03.22,23.00,13:13:03.04,30.00,13:13:04.03,7.75,13:13:03.40,60.00,13:13:03.26,18.00,13:13:03.98,25.00,13:13:03.75,-3.00,13:13:04.14,7.02,13:13:03.89,53.00,13:13:04.00,20.00,13:13:03.45,-22.00,13:13:03.14,56.00,13:13:04.15,897.99,13:13:04.15,846.52,13:13:04.15,888.52,13:13:04.15,607.12
13:13:03.65,16.00,13:13:03.34,22.00,13:13:03.14,29.00,13:13:04.12,7.66,13:13:03.50,59.00,13:13:03.33,18.00,13:13:04.03,26.00,13:13:03.86,-3.00,13:13:04.22,6.93,13:13:03.98,59.00,13:13:04.08,20.30,13:13:03.58,-22.00,13:13:03.28,53.00,13:13:04.23,871.15,13:13:04.23,892.74,13:13:04.23,762.60,13:13:04.23,615.64
13:13:03.86,16.00,13:13:03.40,22.00,13:13:03.19,30.00,13:13:04.20,7.59,13:13:03.53,58.00,13:13:03.45,20.00,13:13:04.11,22.00,13:13:03.97,-4.00,13:13:04.26,6.88,13:13:04.01,59.00,13:13:04.12,5.00,13:13:03.62,-22.00,13:13:03.34,56.00,13:13:04.30,819.97,13:13:04.30,829.70,13:13:04.30,704.51,13:13:04.30,620.79
13:13:03.98,17.00,13:13:03.62,23.00,13:13:03.22,23.00,13:13:04.26,7.53,13:13:03.75,56.00,13:13:03.48,15.00,13:13:04.20,20.00,13:13:04.03,-4.00,13:13:04.34,6.79,13:13:04.14,59.00,13:13:04.22,6.00,13:13:03.67,-22.00,13:13:03.48,53.00,13:13:04.36,729.74,13:13:04.36,707.98,13:13:04.36,760.86,13:13:04.36,629.34
13:13:04.04,16.00,13:13:03.64,22.00,13:13:03.25,30.00,13:13:04.34,7.45,13:13:03.87,53.00,13:13:03.58,15.00,13:13:04.26,25.30,13:13:04.17,-4.00,13:13:04.42,6.69,13:13:04.20,59.00,13:13:04.25,20.30,13:13:03.75,-23.00,13:13:03.53,59.00,13:13:04.44,701.77,13:13:04.44,751.82,13:13:04.44,887.63,13:13:04.44,637.91
13:13:04.22,17.00,13:13:03.78,22.00,13:13:03.34,29.00,13:13:04.42,7.38,13:13:03.97,59.00,13:13:03.67,20.00,13:13:04.36,30.00,13:13:04.23,-4.00,13:13:04.50,6.60,13:13:04.25,60.00,13:13:04.36,20.00,13:13:03.86,-22.00,13:13:03.72,59.00,13:13:04.51,760.86,13:13:04.51,882.35,13:13:04.51,856.73,13:13:04.51,646.48
